img, version, proc, rep, iter, time
0, 0, 2, 0, 800,  0.021954
0, 0, 2, 1, 800,  0.022027
0, 0, 2, 2, 800,  0.021765
0, 0, 2, 3, 800,  0.021675
0, 0, 2, 4, 800,  0.038907
0, 0, 2, 5, 800,  0.022592
0, 0, 4, 0, 800,  0.030118
0, 0, 4, 1, 800,  0.028682
0, 0, 4, 2, 800,  0.029013
0, 0, 4, 3, 800,  0.029573
0, 0, 4, 4, 800,  0.028712
0, 0, 4, 5, 800,  0.030963
0, 0, 8, 0, 800,  0.019527
0, 0, 8, 1, 800,  0.020429
0, 0, 8, 2, 800,  0.020011
0, 0, 8, 3, 800,  0.019701
0, 0, 8, 4, 800,  0.020389
0, 0, 8, 5, 800,  0.019908
0, 0, 12, 0, 800,  0.018123
0, 0, 12, 1, 800,  0.017952
0, 0, 12, 2, 800,  0.018332
0, 0, 12, 3, 800,  0.018300
0, 0, 12, 4, 800,  0.018127
0, 0, 12, 5, 800,  0.018402
0, 0, 19, 0, 800,  0.013332
0, 0, 19, 1, 800,  0.013429
0, 0, 19, 2, 800,  0.013350
0, 0, 19, 3, 800,  0.013419
0, 0, 19, 4, 800,  0.013257
0, 0, 19, 5, 800,  0.013438
0, 1, 2, 0, 800,  0.034353
0, 1, 2, 1, 800,  0.034261
0, 1, 2, 2, 800,  0.034273
0, 1, 2, 3, 800,  0.060213
0, 1, 2, 4, 800,  0.034343
0, 1, 2, 5, 800,  0.034361
0, 1, 4, 0, 800,  0.042099
0, 1, 4, 1, 800,  0.040281
0, 1, 4, 2, 800,  0.041592
0, 1, 4, 3, 800,  0.040133
0, 1, 4, 4, 800,  0.039368
0, 1, 4, 5, 800,  0.040721
0, 1, 8, 0, 800,  0.026884
0, 1, 8, 1, 800,  0.026640
0, 1, 8, 2, 800,  0.027085
0, 1, 8, 3, 800,  0.026848
0, 1, 8, 4, 800,  0.027183
0, 1, 8, 5, 800,  0.027630
0, 1, 12, 0, 800,  0.023759
0, 1, 12, 1, 800,  0.023819
0, 1, 12, 2, 800,  0.023779
0, 1, 12, 3, 800,  0.024277
0, 1, 12, 4, 800,  0.024715
0, 1, 12, 5, 800,  0.023930
0, 1, 19, 0, 800,  0.018878
0, 1, 19, 1, 800,  0.018903
0, 1, 19, 2, 800,  0.018902
0, 1, 19, 3, 800,  0.019065
0, 1, 19, 4, 800,  0.018578
0, 1, 19, 5, 800,  0.018943
1, 0, 2, 0, 800,  0.052253
1, 0, 2, 1, 800,  0.053651
1, 0, 2, 2, 800,  0.058995
1, 0, 2, 3, 800,  0.055900
1, 0, 2, 4, 800,  0.058963
1, 0, 2, 5, 800,  0.036381
1, 0, 4, 0, 800,  0.045878
1, 0, 4, 1, 800,  0.044358
1, 0, 4, 2, 800,  0.044005
1, 0, 4, 3, 800,  0.044598
1, 0, 4, 4, 800,  0.044485
1, 0, 4, 5, 800,  0.044458
1, 0, 8, 0, 800,  0.027775
1, 0, 8, 1, 800,  0.027966
1, 0, 8, 2, 800,  0.027510
1, 0, 8, 3, 800,  0.027522
1, 0, 8, 4, 800,  0.028365
1, 0, 8, 5, 800,  0.027303
1, 0, 12, 0, 800,  0.024014
1, 0, 12, 1, 800,  0.024268
1, 0, 12, 2, 800,  0.023221
1, 0, 12, 3, 800,  0.024400
1, 0, 12, 4, 800,  0.024097
1, 0, 12, 5, 800,  0.024321
1, 0, 19, 0, 800,  0.018685
1, 0, 19, 1, 800,  0.018548
1, 0, 19, 2, 800,  0.018545
1, 0, 19, 3, 800,  0.017936
1, 0, 19, 4, 800,  0.017738
1, 0, 19, 5, 800,  0.018283
1, 1, 2, 0, 800,  0.061373
1, 1, 2, 1, 800,  0.086282
1, 1, 2, 2, 800,  0.060391
1, 1, 2, 3, 800,  0.073780
1, 1, 2, 4, 800,  0.060279
1, 1, 2, 5, 800,  0.078239
1, 1, 4, 0, 800,  0.060709
1, 1, 4, 1, 800,  0.061698
1, 1, 4, 2, 800,  0.061466
1, 1, 4, 3, 800,  0.061654
1, 1, 4, 4, 800,  0.061869
1, 1, 4, 5, 800,  0.061167
1, 1, 8, 0, 800,  0.039104
1, 1, 8, 1, 800,  0.039533
1, 1, 8, 2, 800,  0.038549
1, 1, 8, 3, 800,  0.038879
1, 1, 8, 4, 800,  0.040588
1, 1, 8, 5, 800,  0.041182
1, 1, 12, 0, 800,  0.032125
1, 1, 12, 1, 800,  0.033294
1, 1, 12, 2, 800,  0.032852
1, 1, 12, 3, 800,  0.032935
1, 1, 12, 4, 800,  0.031564
1, 1, 12, 5, 800,  0.031485
1, 1, 19, 0, 800,  0.028408
1, 1, 19, 1, 800,  0.028661
1, 1, 19, 2, 800,  0.027294
1, 1, 19, 3, 800,  0.028580
1, 1, 19, 4, 800,  0.026837
1, 1, 19, 5, 800,  0.028166
2, 0, 2, 0, 800,  0.149445
2, 0, 2, 1, 800,  0.153425
2, 0, 2, 2, 800,  0.126704
2, 0, 2, 3, 800,  0.126362
2, 0, 2, 4, 800,  0.131311
2, 0, 2, 5, 800,  0.126456
2, 0, 4, 0, 800,  0.097331
2, 0, 4, 1, 800,  0.099035
2, 0, 4, 2, 800,  0.091409
