img, version, proc, rep, iter, time
0, 0, 2, 0, 800,  0.033958
0, 0, 2, 1, 800,  0.038177
0, 0, 2, 2, 800,  0.032512
0, 0, 2, 3, 800,  0.021837
0, 0, 2, 4, 800,  0.035924
0, 0, 2, 5, 800,  0.030675
0, 0, 4, 0, 800,  0.029278
0, 0, 4, 1, 800,  0.030008
0, 0, 4, 2, 800,  0.028641
0, 0, 4, 3, 800,  0.028841
0, 0, 4, 4, 800,  0.029142
0, 0, 4, 5, 800,  0.029786
0, 0, 8, 0, 800,  0.020498
0, 0, 8, 1, 800,  0.020090
0, 0, 8, 2, 800,  0.020115
0, 0, 8, 3, 800,  0.019772
0, 0, 8, 4, 800,  0.020114
0, 0, 8, 5, 800,  0.019854
0, 0, 12, 0, 800,  0.017974
0, 0, 12, 1, 800,  0.017988
0, 0, 12, 2, 800,  0.018355
0, 0, 12, 3, 800,  0.018077
0, 0, 12, 4, 800,  0.018426
0, 0, 12, 5, 800,  0.018307
0, 0, 19, 0, 800,  0.013212
0, 0, 19, 1, 800,  0.013647
0, 0, 19, 2, 800,  0.013317
0, 0, 19, 3, 800,  0.013388
0, 0, 19, 4, 800,  0.013353
0, 0, 19, 5, 800,  0.013541
0, 1, 2, 0, 800,  0.049858
0, 1, 2, 1, 800,  0.037919
0, 1, 2, 2, 800,  0.037926
0, 1, 2, 3, 800,  0.037308
0, 1, 2, 4, 800,  0.047118
0, 1, 2, 5, 800,  0.057472
0, 1, 4, 0, 800,  0.041218
0, 1, 4, 1, 800,  0.041271
0, 1, 4, 2, 800,  0.041688
0, 1, 4, 3, 800,  0.040312
0, 1, 4, 4, 800,  0.040453
0, 1, 4, 5, 800,  0.042746
0, 1, 8, 0, 800,  0.027976
0, 1, 8, 1, 800,  0.026996
0, 1, 8, 2, 800,  0.026807
0, 1, 8, 3, 800,  0.026841
0, 1, 8, 4, 800,  0.026802
0, 1, 8, 5, 800,  0.026875
0, 1, 12, 0, 800,  0.024517
0, 1, 12, 1, 800,  0.024482
0, 1, 12, 2, 800,  0.023538
0, 1, 12, 3, 800,  0.024367
0, 1, 12, 4, 800,  0.023880
0, 1, 12, 5, 800,  0.023744
0, 1, 19, 0, 800,  0.024416
0, 1, 19, 1, 800,  0.021172
0, 1, 19, 2, 800,  0.019285
0, 1, 19, 3, 800,  0.020785
0, 1, 19, 4, 800,  0.019957
0, 1, 19, 5, 800,  0.018881
1, 0, 2, 0, 800,  0.036458
1, 0, 2, 1, 800,  0.036439
1, 0, 2, 2, 800,  0.036428
1, 0, 2, 3, 800,  0.036445
1, 0, 2, 4, 800,  0.048470
1, 0, 2, 5, 800,  0.050851
1, 0, 4, 0, 800,  0.042279
1, 0, 4, 1, 800,  0.042725
1, 0, 4, 2, 800,  0.043755
1, 0, 4, 3, 800,  0.043605
1, 0, 4, 4, 800,  0.043632
1, 0, 4, 5, 800,  0.044299
1, 0, 8, 0, 800,  0.027326
1, 0, 8, 1, 800,  0.027011
1, 0, 8, 2, 800,  0.028573
1, 0, 8, 3, 800,  0.027426
1, 0, 8, 4, 800,  0.028632
1, 0, 8, 5, 800,  0.028000
1, 0, 12, 0, 800,  0.023813
1, 0, 12, 1, 800,  0.023417
1, 0, 12, 2, 800,  0.022975
1, 0, 12, 3, 800,  0.023998
1, 0, 12, 4, 800,  0.022982
1, 0, 12, 5, 800,  0.023298
1, 0, 19, 0, 800,  0.018618
1, 0, 19, 1, 800,  0.017828
1, 0, 19, 2, 800,  0.018824
1, 0, 19, 3, 800,  0.018606
1, 0, 19, 4, 800,  0.017946
1, 0, 19, 5, 800,  0.018744
