img, version, proc, rep, iter, time
0, 0, 2, 0, 800,  0.023558
0, 0, 2, 1, 800,  0.024447
0, 0, 2, 2, 800,  0.021861
0, 0, 2, 3, 800,  0.025266
0, 0, 2, 4, 800,  0.024965
0, 0, 2, 5, 800,  0.021669
0, 0, 4, 0, 800,  0.018661
0, 0, 4, 1, 800,  0.019247
0, 0, 4, 2, 800,  0.018519
0, 0, 4, 3, 800,  0.019136
0, 0, 4, 4, 800,  0.018451
0, 0, 4, 5, 800,  0.019067
0, 0, 8, 0, 800,  0.012572
0, 0, 8, 1, 800,  0.012621
0, 0, 8, 2, 800,  0.012548
0, 0, 8, 3, 800,  0.012842
0, 0, 8, 4, 800,  0.013045
0, 0, 8, 5, 800,  0.012942
0, 0, 12, 0, 800,  0.010803
0, 0, 12, 1, 800,  0.012753
0, 0, 12, 2, 800,  0.011002
0, 0, 12, 3, 800,  0.010884
0, 0, 12, 4, 800,  0.010894
0, 0, 12, 5, 800,  0.011158
0, 0, 19, 0, 800,  0.008541
0, 0, 19, 1, 800,  0.008024
0, 0, 19, 2, 800,  0.008663
0, 0, 19, 3, 800,  0.008240
0, 0, 19, 4, 800,  0.008595
0, 0, 19, 5, 800,  0.008060
0, 1, 2, 0, 800,  0.034479
0, 1, 2, 1, 800,  0.034357
0, 1, 2, 2, 800,  0.034400
0, 1, 2, 3, 800,  0.036871
0, 1, 2, 4, 800,  0.037126
0, 1, 2, 5, 800,  0.034376
0, 1, 4, 0, 800,  0.024314
0, 1, 4, 1, 800,  0.022323
0, 1, 4, 2, 800,  0.024175
0, 1, 4, 3, 800,  0.024950
0, 1, 4, 4, 800,  0.024691
0, 1, 4, 5, 800,  0.024574
0, 1, 8, 0, 800,  0.014785
0, 1, 8, 1, 800,  0.016916
0, 1, 8, 2, 800,  0.016571
0, 1, 8, 3, 800,  0.016842
0, 1, 8, 4, 800,  0.016916
0, 1, 8, 5, 800,  0.016833
0, 1, 12, 0, 800,  0.014562
0, 1, 12, 1, 800,  0.014419
0, 1, 12, 2, 800,  0.015357
0, 1, 12, 3, 800,  0.014786
0, 1, 12, 4, 800,  0.015027
0, 1, 12, 5, 800,  0.014943
0, 1, 19, 0, 800,  0.012116
0, 1, 19, 1, 800,  0.011541
0, 1, 19, 2, 800,  0.012000
0, 1, 19, 3, 800,  0.011894
0, 1, 19, 4, 800,  0.012007
0, 1, 19, 5, 800,  0.011867
1, 0, 2, 0, 800,  0.036506
1, 0, 2, 1, 800,  0.036820
1, 0, 2, 2, 800,  0.036855
1, 0, 2, 3, 800,  0.036378
1, 0, 2, 4, 800,  0.036334
1, 0, 2, 5, 800,  0.036314
1, 0, 4, 0, 800,  0.026504
1, 0, 4, 1, 800,  0.026885
1, 0, 4, 2, 800,  0.026494
1, 0, 4, 3, 800,  0.026551
1, 0, 4, 4, 800,  0.026270
1, 0, 4, 5, 800,  0.025892
1, 0, 8, 0, 800,  0.015439
1, 0, 8, 1, 800,  0.015601
1, 0, 8, 2, 800,  0.016027
1, 0, 8, 3, 800,  0.015684
1, 0, 8, 4, 800,  0.015808
1, 0, 8, 5, 800,  0.015781
1, 0, 12, 0, 800,  0.012864
1, 0, 12, 1, 800,  0.013320
1, 0, 12, 2, 800,  0.013031
1, 0, 12, 3, 800,  0.013538
1, 0, 12, 4, 800,  0.013260
1, 0, 12, 5, 800,  0.013564
1, 0, 19, 0, 800,  0.010738
1, 0, 19, 1, 800,  0.010847
1, 0, 19, 2, 800,  0.010841
1, 0, 19, 3, 800,  0.010907
1, 0, 19, 4, 800,  0.010761
1, 0, 19, 5, 800,  0.010793
1, 1, 2, 0, 800,  0.060228
1, 1, 2, 1, 800,  0.060296
1, 1, 2, 2, 800,  0.060963
1, 1, 2, 3, 800,  0.061342
1, 1, 2, 4, 800,  0.060228
1, 1, 2, 5, 800,  0.060130
1, 1, 4, 0, 800,  0.037350
1, 1, 4, 1, 800,  0.038138
1, 1, 4, 2, 800,  0.038645
1, 1, 4, 3, 800,  0.037065
1, 1, 4, 4, 800,  0.037305
1, 1, 4, 5, 800,  0.037372
1, 1, 8, 0, 800,  0.022476
1, 1, 8, 1, 800,  0.022778
