img, proc, rep, iter, time
0, 6, 0, 20000,  0.313882
0, 6, 1, 20000,  0.320715
0, 6, 2, 20000,  0.320670
0, 6, 3, 20000,  0.327282
0, 6, 4, 20000,  0.319798
0, 6, 5, 20000,  0.326044
0, 12, 0, 20000,  0.245953
0, 12, 1, 20000,  0.244585
0, 12, 2, 20000,  0.245954
0, 12, 3, 20000,  0.246024
0, 12, 4, 20000,  0.247640
0, 12, 5, 20000,  0.246680
0, 18, 0, 20000,  0.213682
0, 18, 1, 20000,  0.213294
0, 18, 2, 20000,  0.214106
0, 18, 3, 20000,  0.211795
0, 18, 4, 20000,  0.213910
0, 18, 5, 20000,  0.216409
0, 24, 0, 20000,  0.242601
0, 24, 1, 20000,  0.242200
0, 24, 2, 20000,  0.242828
0, 24, 3, 20000,  0.242754
0, 24, 4, 20000,  0.242603
0, 24, 5, 20000,  0.242704
0, 30, 0, 20000,  0.238428
0, 30, 1, 20000,  0.239241
0, 30, 2, 20000,  0.237882
0, 30, 3, 20000,  0.238095
0, 30, 4, 20000,  0.238077
0, 30, 5, 20000,  0.237646
0, 36, 0, 20000,  0.218689
0, 36, 1, 20000,  0.220060
0, 36, 2, 20000,  0.219436
0, 36, 3, 20000,  0.219405
0, 36, 4, 20000,  0.220196
0, 36, 5, 20000,  0.219588
1, 6, 0, 20000,  0.492476
1, 6, 1, 20000,  0.500991
1, 6, 2, 20000,  0.491916
1, 6, 3, 20000,  0.487634
1, 6, 4, 20000,  0.488756
1, 6, 5, 20000,  0.487810
1, 12, 0, 20000,  0.322173
1, 12, 1, 20000,  0.324882
1, 12, 2, 20000,  0.322027
1, 12, 3, 20000,  0.322077
1, 12, 4, 20000,  0.321508
1, 12, 5, 20000,  0.322699
1, 18, 0, 20000,  0.256600
1, 18, 1, 20000,  0.273708
1, 18, 2, 20000,  0.258517
1, 18, 3, 20000,  0.256639
1, 18, 4, 20000,  0.258191
1, 18, 5, 20000,  0.256584
1, 24, 0, 20000,  0.284452
1, 24, 1, 20000,  0.282988
1, 24, 2, 20000,  0.283622
1, 24, 3, 20000,  0.284804
1, 24, 4, 20000,  0.284717
1, 24, 5, 20000,  0.284437
1, 30, 0, 20000,  0.272418
1, 30, 1, 20000,  0.270652
1, 30, 2, 20000,  0.271038
1, 30, 3, 20000,  0.271972
1, 30, 4, 20000,  0.271401
1, 30, 5, 20000,  0.270513
1, 36, 0, 20000,  0.253132
1, 36, 1, 20000,  0.253740
1, 36, 2, 20000,  0.254141
1, 36, 3, 20000,  0.252896
1, 36, 4, 20000,  0.252442
1, 36, 5, 20000,  0.252445
2, 6, 0, 20000,  1.254734
2, 6, 1, 20000,  1.265718
2, 6, 2, 20000,  1.254269
2, 6, 3, 20000,  1.254466
2, 6, 4, 20000,  1.254362
2, 6, 5, 20000,  1.257572
2, 12, 0, 20000,  0.824171
2, 12, 1, 20000,  0.825115
2, 12, 2, 20000,  0.830921
2, 12, 3, 20000,  0.828054
2, 12, 4, 20000,  0.826084
2, 12, 5, 20000,  0.823431
2, 18, 0, 20000,  0.588170
2, 18, 1, 20000,  0.587012
2, 18, 2, 20000,  0.583974
2, 18, 3, 20000,  0.584345
2, 18, 4, 20000,  0.594917
2, 18, 5, 20000,  0.587441
2, 24, 0, 20000,  0.540110
2, 24, 1, 20000,  0.539876
2, 24, 2, 20000,  0.541273
2, 24, 3, 20000,  0.537368
2, 24, 4, 20000,  0.539120
2, 24, 5, 20000,  0.537012
2, 30, 0, 20000,  0.479618
2, 30, 1, 20000,  0.477262
2, 30, 2, 20000,  0.476749
2, 30, 3, 20000,  0.476397
2, 30, 4, 20000,  0.474569
2, 30, 5, 20000,  0.479331
2, 36, 0, 20000,  0.418965
2, 36, 1, 20000,  0.417567
2, 36, 2, 20000,  0.418063
2, 36, 3, 20000,  0.417488
2, 36, 4, 20000,  0.419599
2, 36, 5, 20000,  0.418729
3, 6, 0, 20000,  3.272967
3, 6, 1, 20000,  3.278141
3, 6, 2, 20000,  3.271677
3, 6, 3, 20000,  3.279096
3, 6, 4, 20000,  3.273478
3, 6, 5, 20000,  3.270692
3, 12, 0, 20000,  1.716569
3, 12, 1, 20000,  1.715217
3, 12, 2, 20000,  1.714774
3, 12, 3, 20000,  1.708832
3, 12, 4, 20000,  1.719721
3, 12, 5, 20000,  1.716493
3, 18, 0, 20000,  1.243342
3, 18, 1, 20000,  1.258616
3, 18, 2, 20000,  1.264419
3, 18, 3, 20000,  1.263430
3, 18, 4, 20000,  1.264390
3, 18, 5, 20000,  1.262864
3, 24, 0, 20000,  1.070956
3, 24, 1, 20000,  1.119462
3, 24, 2, 20000,  1.071180
3, 24, 3, 20000,  1.070972
3, 24, 4, 20000,  1.069346
3, 24, 5, 20000,  1.069823
3, 30, 0, 20000,  0.960070
3, 30, 1, 20000,  0.967354
3, 30, 2, 20000,  0.961063
3, 30, 3, 20000,  0.961308
3, 30, 4, 20000,  0.962958
3, 30, 5, 20000,  0.963960
3, 36, 0, 20000,  0.879499
3, 36, 1, 20000,  0.887710
3, 36, 2, 20000,  0.888391
3, 36, 3, 20000,  0.887803
3, 36, 4, 20000,  0.887767
3, 36, 5, 20000,  0.887578
