img, proc, rep, iter, time
0, 1, 0, 20000,  0.972858
0, 1, 1, 20000,  0.973860
0, 1, 2, 20000,  0.972539
0, 1, 3, 20000,  0.971543
0, 1, 4, 20000,  0.969687
0, 1, 5, 20000,  0.973595
0, 2, 0, 20000,  0.545649
0, 2, 1, 20000,  0.544963
0, 2, 2, 20000,  0.548748
0, 2, 3, 20000,  0.548381
0, 2, 4, 20000,  0.550154
0, 2, 5, 20000,  0.545430
0, 4, 0, 20000,  0.415280
0, 4, 1, 20000,  0.418268
0, 4, 2, 20000,  0.418389
0, 4, 3, 20000,  0.424010
0, 4, 4, 20000,  0.417718
0, 4, 5, 20000,  0.425242
0, 8, 0, 20000,  0.268825
0, 8, 1, 20000,  0.269323
0, 8, 2, 20000,  0.272329
0, 8, 3, 20000,  0.268177
0, 8, 4, 20000,  0.271504
0, 8, 5, 20000,  0.264837
0, 12, 0, 20000,  0.241653
0, 12, 1, 20000,  0.243264
0, 12, 2, 20000,  0.241684
0, 12, 3, 20000,  0.244612
0, 12, 4, 20000,  0.242042
0, 12, 5, 20000,  0.242585
0, 15, 0, 20000,  0.219880
0, 15, 1, 20000,  0.219010
0, 15, 2, 20000,  0.219515
0, 15, 3, 20000,  0.218676
0, 15, 4, 20000,  0.220837
0, 15, 5, 20000,  0.218483
0, 16, 0, 20000,  0.228698
0, 16, 1, 20000,  0.228944
0, 16, 2, 20000,  0.228030
0, 16, 3, 20000,  0.228055
0, 16, 4, 20000,  0.227560
0, 16, 5, 20000,  0.228237
0, 23, 0, 20000,  0.197443
0, 23, 1, 20000,  0.199352
0, 23, 2, 20000,  0.198432
0, 23, 3, 20000,  0.198296
0, 23, 4, 20000,  0.197328
0, 23, 5, 20000,  0.200161
0, 25, 0, 20000,  0.248971
0, 25, 1, 20000,  0.248260
0, 25, 2, 20000,  0.249119
0, 25, 3, 20000,  0.247739
0, 25, 4, 20000,  0.249804
0, 25, 5, 20000,  0.249728
0, 28, 0, 20000,  0.233794
0, 28, 1, 20000,  0.235638
0, 28, 2, 20000,  0.235115
0, 28, 3, 20000,  0.235244
0, 28, 4, 20000,  0.234876
0, 28, 5, 20000,  0.233550
0, 31, 0, 20000,  0.190707
0, 31, 1, 20000,  0.190203
0, 31, 2, 20000,  0.191265
0, 31, 3, 20000,  0.191540
0, 31, 4, 20000,  0.201804
0, 31, 5, 20000,  0.189847
0, 32, 0, 20000,  0.227906
