img, proc, rep, iter, time
0, 6, 0, 20000,  0.356342
0, 6, 1, 20000,  0.348085
0, 6, 2, 20000,  0.353702
0, 6, 3, 20000,  0.352641
0, 6, 4, 20000,  0.349002
0, 6, 5, 20000,  0.354026
0, 12, 0, 20000,  0.275365
0, 12, 1, 20000,  0.279014
0, 12, 2, 20000,  0.277528
0, 12, 3, 20000,  0.279498
0, 12, 4, 20000,  0.275750
0, 12, 5, 20000,  0.273395
0, 18, 0, 20000,  0.243209
0, 18, 1, 20000,  0.245899
0, 18, 2, 20000,  0.242783
0, 18, 3, 20000,  0.240533
0, 18, 4, 20000,  0.241159
0, 18, 5, 20000,  0.241110
0, 24, 0, 20000,  0.266039
0, 24, 1, 20000,  0.267123
0, 24, 2, 20000,  0.264175
0, 24, 3, 20000,  0.265555
0, 24, 4, 20000,  0.267012
0, 24, 5, 20000,  0.268688
0, 30, 0, 20000,  0.259490
0, 30, 1, 20000,  0.261372
0, 30, 2, 20000,  0.262251
0, 30, 3, 20000,  0.260591
0, 30, 4, 20000,  0.266438
0, 30, 5, 20000,  0.260528
0, 36, 0, 20000,  0.242189
0, 36, 1, 20000,  0.246055
0, 36, 2, 20000,  0.242802
0, 36, 3, 20000,  0.244021
0, 36, 4, 20000,  0.243428
0, 36, 5, 20000,  0.239955
1, 6, 0, 20000,  0.517549
1, 6, 1, 20000,  0.530938
1, 6, 2, 20000,  0.518890
1, 6, 3, 20000,  0.520408
1, 6, 4, 20000,  0.522432
1, 6, 5, 20000,  0.519656
1, 12, 0, 20000,  0.355568
1, 12, 1, 20000,  0.349309
1, 12, 2, 20000,  0.356001
1, 12, 3, 20000,  0.351919
1, 12, 4, 20000,  0.357113
1, 12, 5, 20000,  0.351950
1, 18, 0, 20000,  0.288078
1, 18, 1, 20000,  0.289148
1, 18, 2, 20000,  0.286497
1, 18, 3, 20000,  0.286975
1, 18, 4, 20000,  0.288406
1, 18, 5, 20000,  0.288499
1, 24, 0, 20000,  0.308440
1, 24, 1, 20000,  0.305403
1, 24, 2, 20000,  0.308402
1, 24, 3, 20000,  0.305106
1, 24, 4, 20000,  0.305281
1, 24, 5, 20000,  0.306269
1, 30, 0, 20000,  0.295979
1, 30, 1, 20000,  0.292420
1, 30, 2, 20000,  0.297471
1, 30, 3, 20000,  0.295365
1, 30, 4, 20000,  0.296101
1, 30, 5, 20000,  0.294917
1, 36, 0, 20000,  0.273468
1, 36, 1, 20000,  0.273046
1, 36, 2, 20000,  0.276175
1, 36, 3, 20000,  0.272958
1, 36, 4, 20000,  0.278053
1, 36, 5, 20000,  0.289008
2, 6, 0, 20000,  1.278673
2, 6, 1, 20000,  1.276375
2, 6, 2, 20000,  1.277975
2, 6, 3, 20000,  1.278854
2, 6, 4, 20000,  1.277954
2, 6, 5, 20000,  1.283049
2, 12, 0, 20000,  0.852003
2, 12, 1, 20000,  0.852343
2, 12, 2, 20000,  0.845839
2, 12, 3, 20000,  0.850350
2, 12, 4, 20000,  0.836592
2, 12, 5, 20000,  0.860057
2, 18, 0, 20000,  0.616406
2, 18, 1, 20000,  0.621528
2, 18, 2, 20000,  0.614039
2, 18, 3, 20000,  0.619359
2, 18, 4, 20000,  0.622367
2, 18, 5, 20000,  0.626616
2, 24, 0, 20000,  0.571144
2, 24, 1, 20000,  0.558671
2, 24, 2, 20000,  0.559975
2, 24, 3, 20000,  0.558684
2, 24, 4, 20000,  0.558708
2, 24, 5, 20000,  0.562819
2, 30, 0, 20000,  0.493759
2, 30, 1, 20000,  0.494805
2, 30, 2, 20000,  0.497631
2, 30, 3, 20000,  0.500423
2, 30, 4, 20000,  0.499249
2, 30, 5, 20000,  0.496291
2, 36, 0, 20000,  0.434984
2, 36, 1, 20000,  0.434947
2, 36, 2, 20000,  0.439833
2, 36, 3, 20000,  0.440077
2, 36, 4, 20000,  0.438111
2, 36, 5, 20000,  0.433525
3, 6, 0, 20000,  3.274788
3, 6, 1, 20000,  3.283160
3, 6, 2, 20000,  3.296799
3, 6, 3, 20000,  3.274685
3, 6, 4, 20000,  3.278742
3, 6, 5, 20000,  3.272999
3, 12, 0, 20000,  1.735170
3, 12, 1, 20000,  1.721393
3, 12, 2, 20000,  1.726796
3, 12, 3, 20000,  1.719634
3, 12, 4, 20000,  1.730668
3, 12, 5, 20000,  1.722056
3, 18, 0, 20000,  1.321377
3, 18, 1, 20000,  1.343806
3, 18, 2, 20000,  1.335874
3, 18, 3, 20000,  1.333874
3, 18, 4, 20000,  1.335222
3, 18, 5, 20000,  1.340100
3, 24, 0, 20000,  1.127300
3, 24, 1, 20000,  1.128391
3, 24, 2, 20000,  1.146168
3, 24, 3, 20000,  1.128573
3, 24, 4, 20000,  1.125619
3, 24, 5, 20000,  1.176283
3, 30, 0, 20000,  0.979179
3, 30, 1, 20000,  0.976927
3, 30, 2, 20000,  0.980075
3, 30, 3, 20000,  0.983978
3, 30, 4, 20000,  0.979691
3, 30, 5, 20000,  0.974621
3, 36, 0, 20000,  0.879364
3, 36, 1, 20000,  0.877892
3, 36, 2, 20000,  0.879067
3, 36, 3, 20000,  0.877806
3, 36, 4, 20000,  0.880001
3, 36, 5, 20000,  0.886953
