img, proc, rep, iter, time
0, 1, 0, 20000,  0.990920
0, 1, 1, 20000,  0.995365
0, 1, 2, 20000,  0.971155
0, 1, 3, 20000,  0.973823
0, 1, 4, 20000,  0.970092
0, 1, 5, 20000,  0.971419
0, 2, 0, 20000,  0.580208
0, 2, 1, 20000,  0.548810
0, 2, 2, 20000,  0.570136
0, 2, 3, 20000,  0.562418
0, 2, 4, 20000,  0.563473
0, 2, 5, 20000,  0.585458
0, 4, 0, 20000,  0.448461
0, 4, 1, 20000,  0.443327
0, 4, 2, 20000,  0.445174
0, 4, 3, 20000,  0.449119
0, 4, 4, 20000,  0.454996
0, 4, 5, 20000,  0.443495
0, 8, 0, 20000,  0.306037
0, 8, 1, 20000,  0.306899
0, 8, 2, 20000,  0.307918
0, 8, 3, 20000,  0.300151
0, 8, 4, 20000,  0.304292
0, 8, 5, 20000,  0.296690
0, 12, 0, 20000,  0.276951
0, 12, 1, 20000,  0.275535
0, 12, 2, 20000,  0.276774
0, 12, 3, 20000,  0.279210
0, 12, 4, 20000,  0.276977
0, 12, 5, 20000,  0.277835
0, 15, 0, 20000,  0.253680
0, 15, 1, 20000,  0.252288
0, 15, 2, 20000,  0.254880
0, 15, 3, 20000,  0.252990
0, 15, 4, 20000,  0.254246
0, 15, 5, 20000,  0.252933
0, 16, 0, 20000,  0.262804
0, 16, 1, 20000,  0.260160
0, 16, 2, 20000,  0.259605
0, 16, 3, 20000,  0.262749
0, 16, 4, 20000,  0.262227
0, 16, 5, 20000,  0.258852
0, 23, 0, 20000,  0.225015
0, 23, 1, 20000,  0.225198
0, 23, 2, 20000,  0.222718
0, 23, 3, 20000,  0.220157
0, 23, 4, 20000,  0.229652
0, 23, 5, 20000,  0.223545
0, 25, 0, 20000,  0.270853
0, 25, 1, 20000,  0.271131
0, 25, 2, 20000,  0.273316
0, 25, 3, 20000,  0.277332
0, 25, 4, 20000,  0.275887
0, 25, 5, 20000,  0.279624
0, 28, 0, 20000,  0.255040
0, 28, 1, 20000,  0.256130
0, 28, 2, 20000,  0.258453
0, 28, 3, 20000,  0.256251
0, 28, 4, 20000,  0.257924
0, 28, 5, 20000,  0.261929
0, 31, 0, 20000,  0.207628
0, 31, 1, 20000,  0.210530
0, 31, 2, 20000,  0.209204
0, 31, 3, 20000,  0.209475
0, 31, 4, 20000,  0.217053
0, 31, 5, 20000,  0.208662
0, 32, 0, 20000,  0.252045
0, 32, 1, 20000,  0.246713
0, 32, 2, 20000,  0.247470
0, 32, 3, 20000,  0.247968
0, 32, 4, 20000,  0.249212
0, 32, 5, 20000,  0.246113
0, 36, 0, 20000,  0.238591
0, 36, 1, 20000,  0.243768
0, 36, 2, 20000,  0.245634
0, 36, 3, 20000,  0.243711
0, 36, 4, 20000,  0.240978
0, 36, 5, 20000,  0.245937
1, 1, 0, 20000,  1.664881
1, 1, 1, 20000,  1.663937
1, 1, 2, 20000,  1.661478
1, 1, 3, 20000,  1.663698
1, 1, 4, 20000,  1.660598
1, 1, 5, 20000,  1.666273
1, 2, 0, 20000,  0.929912
1, 2, 1, 20000,  0.932326
1, 2, 2, 20000,  0.908028
1, 2, 3, 20000,  0.933876
1, 2, 4, 20000,  0.906570
1, 2, 5, 20000,  0.907192
1, 4, 0, 20000,  0.679490
1, 4, 1, 20000,  0.678083
1, 4, 2, 20000,  0.680738
1, 4, 3, 20000,  0.668906
1, 4, 4, 20000,  0.677286
1, 4, 5, 20000,  0.672683
1, 8, 0, 20000,  0.419529
1, 8, 1, 20000,  0.416314
